3OAR140,RPI
3OAS140,RPI
A5PISO,RPI
ACGK,ARGt2
ACGK,EX_arg_L(e)
ACHBPL,EX_ile_L(e)
ACHBPL,ILEt2r
ACLS_b,EX_val_L(e)
ACLS_b,VALTA
ACLS_b,VALt2r
ACOTA,ARGt2
ACOTA,EX_arg_L(e)
ADK10,NDPK4
ADK3,NDPK1
ADK5,NDPK3
ADK8,NDPK7
ADK9,NDPK5
ADSL2r,EX_for(e)
ADSL2r,EX_hxan(e)
ADSL2r,FORt
ADSL2r,HXPRT
ADSL2r,HYXNt
AGPR,ARGt2
AGPR,EX_arg_L(e)
AHSERL3,ASAD
AHSERL3,ASPKi
AICART,EX_for(e)
AICART,EX_hxan(e)
AICART,FORt
AICART,HXPRT
AICART,HYXNt
AIRC4,EX_for(e)
AIRC4,EX_hxan(e)
AIRC4,FORt
AIRC4,HXPRT
AIRC4,HYXNt
ALAR,DALAt2r
ALAR,EX_ala_D(e)
AMOPBHL,PDX5PS
ANPRT,EX_trp_L(e)
ANPRT,TRPt2r
ARGSL,ARGt2
ARGSL,EX_arg_L(e)
ARGSSr,ARGt2
ARGSSr,EX_arg_L(e)
ARGt2,OCBT
ARGt2,ORNTAC
ASAD,CYSS3r
ASAD,HSERTA
ASAD,SERATi
ASPCT,UPPRT
ASPKi,CYSS3r
ASPKi,HSERTA
ASPKi,SERATi
CDOSKT,RPI
CHORM,TALA
CHORM,TKT1
CHORS,EX_trp_L(e)
CHORS,TALA
CHORS,TKT1
CHORS,TRPt2r
CTPS1,CTPS2
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DCTPD,RNDR4
DDPA,EX_trp_L(e)
DDPA,TALA
DDPA,TKT1
DDPA,TRPt2r
DHAD1,EX_val_L(e)
DHAD1,VALTA
DHAD1,VALt2r
DHAD2,EX_ile_L(e)
DHAD2,ILEt2r
DHORTS,UPPRT
DHQS,EX_trp_L(e)
DHQS,TALA
DHQS,TKT1
DHQS,TRPt2r
DHQTi,EX_trp_L(e)
DHQTi,TALA
DHQTi,TKT1
DHQTi,TRPt2r
DMPPS,DMPPS2r
DM_kdo2lipid4L(c),RPI
DUTPDP,URIDK3
EDTXS1,RPI
EX_arg_L(e),OCBT
EX_arg_L(e),ORNTAC
EX_fe3(e),EX_o2(e)
EX_fe3(e),FERO
EX_fe3(e),O2t
EX_for(e),GART
EX_for(e),GLUPRT
EX_for(e),H2CO3D
EX_for(e),IMPC
EX_for(e),MTHFC
EX_for(e),MTHFD
EX_for(e),PRAGS
EX_for(e),PRAIS
EX_for(e),PRASCSi
EX_for(e),PRFGS
EX_hxan(e),GLUPRT
EX_hxan(e),H2CO3D
EX_hxan(e),IMPC
EX_hxan(e),MTHFC
EX_hxan(e),MTHFD
EX_hxan(e),PRAGS
EX_hxan(e),PRAIS
EX_hxan(e),PRASCSi
EX_hxan(e),PRFGS
EX_ile_L(e),ILETA
EX_nac(e),NNDPR
EX_nac(e),QULNS
EX_o2(e),FE3abc
EX_o2(e),PDX5PO2
EX_ser_L(e),PGCDr
EX_ser_L(e),PSERT
EX_ser_L(e),PSP_L
EX_trp_L(e),IGPS
EX_trp_L(e),PRAI
EX_trp_L(e),PSCVT
EX_trp_L(e),SHK3Dr
EX_trp_L(e),SHKK
EX_val_L(e),VALTA
EX_xan(e),IMPD
FBA,FRUK
FE3abc,FERO
FE3abc,O2t
FORt,GART
FORt,GLUPRT
FORt,H2CO3D
FORt,IMPC
FORt,MTHFC
FORt,MTHFD
FORt,PRAGS
FORt,PRAIS
FORt,PRASCSi
FORt,PRFGS
GK1,GK2
GLUPRT,HXPRT
GLUPRT,HYXNt
H2CO3D,HXPRT
H2CO3D,HYXNt
H2CO3D,RPI
HXPRT,IMPC
HXPRT,MTHFC
HXPRT,MTHFD
HXPRT,PRAGS
HXPRT,PRAIS
HXPRT,PRASCSi
HXPRT,PRFGS
HYXNt,IMPC
HYXNt,MTHFC
HYXNt,MTHFD
HYXNt,PRAGS
HYXNt,PRAIS
HYXNt,PRASCSi
HYXNt,PRFGS
IGPS,TRPt2r
ILETA,ILEt2r
IMPD,XANt2r
IMPD,XPPT
IPDPS,IPDPS2
KDOCT2,RPI
KDOPP,RPI
KDOPSr,RPI
LPADSS,RPI
MCOATA,RPI
MG2abc,MGt5
MOAT,RPI
NACt2r,NNDPR
NACt2r,QULNS
NADK,NADK2
NADS1,NADS2
NAPRT,NNDPR
NAPRT,QULNS
NDPK2,UTPATPT
O2t,PDX5PO2
OMPDC,UPPRT
OROTPT,UPPRT
PDX5PO,PDX5PO2
PDX5PS,PDX5PSYN
PDX5PS,PHTHRDH
PGCDr,SERt2r
PPNCL3,r0671
PRAI,TRPt2r
PSCVT,TALA
PSCVT,TKT1
PSCVT,TRPt2r
PSERT,SERt2r
PSP_L,SERt2r
RPI,TALA
RPI,TDSK
RPI,TKT1
RPI,U23GAAT
RPI,UAGAAT
RPI,UHGADA
RPI,USHD
SHK3Dr,TALA
SHK3Dr,TKT1
SHK3Dr,TRPt2r
SHKK,TALA
SHKK,TKT1
SHKK,TRPt2r
VALTA,VALt2r
ZN2t4,ZNabc
