Abiotrophia_defectiva_ATCC_49176,223,214,367,161,35,35,98.386,https://www.vmh.life/#microbe/Corynebacterium_amycolatum_SK46,Yes (Opportunistic),vmh
Achromobacter_xylosoxidans_NBRC_15126,287,283,1204,210,73,169,0.9825,https://www.vmh.life/#microbe/Achromobacter_xylosoxidans_NBRC_15126,Yes (Opportunistic),vmh
Acidaminococcus_fermentans_DSM_20731,264,122,336,199,50,35,81.4985,https://www.vmh.life/#microbe/Acidaminococcus_fermentans_DSM_20731,Yes,vmh
Acinetobacter_baumannii_AB0057,232,144,491,170,48,60,133.601,https://vmh.life/#microbe/Acinetobacter_baumannii_AB0057,Yes,vmh
Acinetobacter_junii_SH205,96,207,351,170,75,87,86.0965,https://www.vmh.life/#microbe/Acinetobacter_junii_SH205,Yes (Opportunistic),vmh
Actinomyces_graevenitzii_C83,250,160,327,161,58,107,82.9802,https://www.vmh.life/#microbe/Actinomyces_graevenitzii_C83,Yes (Opportunistic),vmh
Actinomyces_naeslundii_str_Howell_279,272,152,334,150,80,42,120.793,https://www.vmh.life/#microbe/Actinomyces_naeslundii_str_Howell_279,Yes (Opportunistic),vmh
Actinomyces_odontolyticus_ATCC_17982,92,140,390,165,60,156,63.4336,https://www.vmh.life/#microbe/Actinomyces_odontolyticus_ATCC_17982,Yes (Opportunistic),vmh
Actinomyces_turicensis_ACS_279_V_Col4,217,137,331,151,50,38,61.7763,https://www.vmh.life/#microbe/Actinomyces_turicensis_ACS_279_V_Col4,Yes (Opportunistic),vmh
Actinomyces_urogenitalis_DSM_15434,250,100,274,157,42,33,65.9611,https://www.vmh.life/#microbe/Actinomyces_urogenitalis_DSM_15434,Yes (Opportunistic),vmh
Actinomyces_viscosus_C505,256,178,307,157,75,75,111.736,https://www.vmh.life/#microbe/Actinomyces_viscosus_C505,Yes (Opportunistic),vmh
Arcanobacterium_haemolyticum_DSM_20595,241,104,161,145,35,95,109.4561,https://www.vmh.life/#microbe/Arcanobacterium_haemolyticum_DSM_20595 ,Yes (Opportunistic),vmh
